,Homestead_maxtempC,Homestead_mintempC,Homestead_DewPointC,Homestead_FeelsLikeC,Homestead_HeatIndexC,Homestead_WindChillC,Homestead_WindGustKmph,Homestead_humidity,Homestead_precipMM,Homestead_pressure,Homestead_tempC,Homestead_windspeedKmph,Consumption,Date
0,33.0,27.0,23.0,36.0,36.0,31.0,24.0,62.0,0.0,1018.0,31.0,19.0,103.0,2020-06-25 17:00:00
1,33.0,27.0,23.0,37.0,37.0,32.0,24.0,60.0,0.0,1018.0,32.0,20.0,99.0,2020-06-25 16:00:00
2,33.0,27.0,23.0,38.0,38.0,33.0,23.0,57.0,0.0,1019.0,33.0,20.0,74.0,2020-06-25 15:00:00
3,33.0,27.0,23.0,37.0,37.0,32.0,22.0,57.0,0.0,1019.0,32.0,19.0,82.0,2020-06-25 14:00:00
4,33.0,27.0,23.0,37.0,37.0,32.0,21.0,58.0,0.0,1019.0,32.0,18.0,73.0,2020-06-25 13:00:00
5,33.0,27.0,23.0,37.0,37.0,32.0,20.0,58.0,0.0,1019.0,32.0,17.0,67.0,2020-06-25 12:00:00
6,33.0,27.0,23.0,36.0,36.0,31.0,19.0,63.0,0.0,1019.0,31.0,16.0,66.0,2020-06-25 11:00:00
7,33.0,27.0,24.0,35.0,35.0,30.0,18.0,68.0,0.0,1019.0,30.0,14.0,67.0,2020-06-25 10:00:00
8,33.0,27.0,24.0,34.0,34.0,29.0,17.0,74.0,0.0,1018.0,29.0,13.0,66.0,2020-06-25 09:00:00
9,33.0,27.0,24.0,33.0,33.0,29.0,16.0,77.0,0.0,1018.0,29.0,12.0,67.0,2020-06-25 08:00:00
10,33.0,27.0,24.0,33.0,33.0,28.0,15.0,80.0,0.0,1017.0,28.0,11.0,70.0,2020-06-25 07:00:00
11,33.0,27.0,25.0,32.0,32.0,28.0,14.0,84.0,0.0,1017.0,28.0,9.0,73.0,2020-06-25 06:00:00
12,33.0,27.0,25.0,32.0,32.0,28.0,13.0,84.0,0.0,1017.0,28.0,9.0,79.0,2020-06-25 05:00:00
13,33.0,27.0,25.0,32.0,32.0,28.0,13.0,83.0,0.0,1017.0,28.0,9.0,86.0,2020-06-25 04:00:00
14,33.0,27.0,25.0,32.0,32.0,28.0,13.0,83.0,0.0,1017.0,28.0,8.0,94.0,2020-06-25 03:00:00
15,33.0,27.0,25.0,33.0,33.0,28.0,12.0,83.0,0.0,1017.0,28.0,8.0,101.0,2020-06-25 02:00:00
